country,year,totalNetProduction,conventionalThermal,nuclear,hydro ,pumpedHydroPower,wind,solar,geothermal,other,imports,exports,energyAbsorbedByPumping,energySupplied,
BE,2018,69212,30093,26996,1239,983,7177,3489,0,219,21636,4308,1348,85192,
BG,2018,41705,19334,15290,4690,987,1326,1043,0,22,2223,10030,425,33473,
CZ,2018,81968,48043,28255,2650,1037,601,2318,0,101,11573,25481,1373,66688,
DK,2018,28939,14072,0,15,0,13899,953,0,0,15634,10409,0,34163,
DE,2018,571800,320438,72274,20042,6661,112174,46184,165,523,31701,80187,8348,514966,
EE,2018,10834,10170,0,18,0,646,0,0,0,3053,4950,0,8937,
IE,2018,29235,19964,0,922,235,8349,0,0,0,1622,1649,499,28708,
EL,2018,50709,34803,0,5802,636,6300,3792,0,11,8706,2187,28,57199,
ES,2018,261071,110084,53271,36084,2009,49495,12137,0,0,24018,12916,3198,268976,
FR,2018,551686,53956,393153,68707,9082,26134,9651,84,0,12826,76095,7331,481086,
HR,2018,13257,4156,0,7681,584,1350,69,0,0,12692,7293,119,18537,
IT,2018,280234,185046,0,49275,1632,17318,22887,5708,0,47179,3270,2233,321910,
CY,2018,4791,4380,0,0,0,221,190,0,0,0,0,0,4791,
LV,2018,6500,3962,0,2418,0,120,0,0,0,5172,4264,0,7408,
LT,2018,3183,803,0,941,514,1136,80,0,223,12847,3215,726,12089,
LU,2018,2165,463,0,1326,1238,264,112,0,0,7553,1392,1718,6609,
HU,2018,29750,13490,14855,216,0,589,594,6,0,18613,4265,0,44098,
MT,2018,1888,1716,0,0,0,0,0,0,0,631,11,0,2509,
NL,2018,112551,94450,3313,86,0,12279,2423,0,0,24018,18157,0,118412,
AT,2018,65588,16351,0,37217,13398,5857,0,0,6163,28076,19129,5116,69419,
PL,2018,154097,138957,0,2353,402,12487,298,0,0,13816,8121,661,159130,
PT,2018,58085,30887,0,13489,3120,12530,974,205,0,5668,8326,1565,53862,
RO,2018,58722,22611,10443,17653,0,6261,1754,0,0,3695,6239,0,56178,
SI,2018,15284,4703,5490,4831,188,6,254,0,0,8930,9432,252,14530,
SK,2018,23717,5426,13807,3838,293,5,586,0,55,12427,8746,401,26997,
FI,2018,67424,26425,21890,13159,0,5861,89,0,0,22548,2611,0,87361,
SE,2018,158287,14870,65801,60978,0,16638,0,0,0,14442,31671,56,141001,
UK,2018,317376,180838,59098,7679,2516,56904,12857,0,0,21332,2225,3391,333092,
NO,2018,146845,3457,0,139512,3491,3876,0,0,0,8340,18489,1021,135675,
ME,2018,3743,1444,0,2137,0,162,0,0,0,7106,868,0,9981,
MK,2018,5204,3309,0,1774,0,97,23,0,0,7261,5341,0,7124,
AL,2018,8597,0,0,8597,0,0,0,0,0,1772,2685,0,7683,
RS,2018,35241,23625,0,11453,1148,150,13,0,0,6400,6294,1068,34280,
TR,2018,289283,195154,0,59865,0,19826,7459,6275,703,2466,3074,0,288675,
BA,2018,7502,4004,0,3477,0,22,0,0,0,1488,3821,51,5119,
UA,2018,159073,60831,84398,11920,0,1186,738,0,0,1587,4639,0,156020,
GE,2018,12149,2115,0,9949,0,84,0,0,0,1522,602,215,12854,